Title,Ingredients,Steps,Loves,URL,Main Ingredients
ayam woku manado,1 ekor ayam kampung potong 12--2 buah jeruk nipis--2 sendok makan garam--3 ruas kunyit--7 bawang merah--7 bawang putih--10 cabai merah--10 cabai rawit merah sesuai selera--3 butir kemiri--2 batang serai--2 lembar daun salam--2 ikat daun kemangi--penyedap rasa rasa rasa rasa rasa rasa rasa--1 12 gelas air--,"cuci bersih ayam dan tiriskan. lalu peras jeruk nipis kalo gak ada jeruk nipis bisa pake cuka dan beri garam. aduk hingga merata dan diamkan selama 5 menit, biar ayam gak bau amis.--goreng ayam tersebut setengah matang, lalu tiriskan--haluskan bumbu menggunakan blender. bawang merah, bawang putih, cabai merah, cabai rawit, kemiri dan kunyit. oh iya kasih minyak sedikit yaa biar bisa di blender. untuk serai nya di geprek aja terus di buat simpul.--setelah bumbu di haluskan barulah di tumis. jangan lupa serai dan daun salamnya juga ikut di tumis. di tumis sampai berubah warna ya --masukan ayam yang sudah di goreng setengah matang ke dalam bumbu yang sudah di tumis, dan diamkan 5 menit dulu. biar bumbu meresap. lalu tuangkan 1 12 gelas air. lalu tambahkan penyedap rasa rasa rasa rasa rasa rasa rasa saya 3 sendok teh, tapi sesuai selera ya koreksi rasa dan biar kan sampai mendidih--setelah masakan mendidih, lalu masukan daun kemangi yang sudah di potong potong. masak lagi sekitar 10 menit. and taraaaaaaaaaaaaaa..... jadi deh ayam woku manadonya.--oh iyaa kalo mau di tambahkan potongan tomat merah juga bisa ko. sesuai selera aja yaa buibuuuu --",1,idresep4473027-ayam-woku-manado,"ayam, ayam kampung, jeruk nipis, garam, kunyit, bawang merah, bawang putih, cabai, cabai merah, cabai rawit, kemiri, serai, daun salam, daun kemangi, penyedap rasa"
ayam goreng tulang lunak,1 kilogram ayam dipotong sesuai selera jangan kecil2 ya--2 batang serai memarkan--4 lembar daun jeruk--7 butir bawang putih haluskan--1 sendok makan ketumbar haluskan--3 ruas jari lengkuas haluskan--3 ruas jari kunyit haluskan--2 butir kemiri haluskan--secukupnya garam--secukupnya air tuk ukep ayam--secukupnya minyak--,"haluskan bumbu2nya bawang putih, ketumbar, kemiri, kunyit, lengkuas, garam hingga halus, sisihkan--campur kan bumbu halus tadi dengan ayam yg sudah dicuci bersih dan sudah dipotong didalam panci presto. uleni sampai tercampur rata.--tambahkan air hingga ayam tenggelam semua. masukkan serai dan daun jeruk nya kedalam rendaman ayam. tutup panci presto rebus ukep presto sampai kurang lebih 45 menit. dengan api sedang.--setelah proses ukep presto selesai, tunggu suhu dingin ruang. lalu goreng ayam dengan minyak api sedang sampai ayam berwarna kecoklatan.--matang dan sajikan ayam selagi hangat bersama nasi, sambal dgn perasan jeruk nipis, lalapan.--",1,idresep4471956-ayam-goreng-tulang-lunak,"ayam, serai, daun jeruk, bawang putih, ketumbar, lengkuas, kunyit, kemiri, garam, minyak"
ayam cabai kawin,14 kilogram ayam--3 buah cabai hijau besar--7 buah cabai merah rawit--3 siung bawang putih--2 siung bawang merah--secukupnya gula--secukupnya garam--14 buah tomat merah--secukupnya air--secukupnya minyak--,"panaskan minyak di dalam wajan. setelah minyak panas masukkan ayam yang sudah dipotong dadu. goreng hingga matang. lalu tiriskan.--haluskan bawang putih, bawang merah, cabai hijau dan merah, tomat.--panaskan minyak didalam wajan. setelah minyak panas, masukkan bumbu yang sudah halus. tunggu sampai wangi. masukkan ayam yang sudah di goreng. tambahkan air, gula dan garam. tunggu sampai bumbu meresap di ayam. sajikan.--",2,idresep4473057-ayam-cabai-kawin,"ayam, cabai, cabai hijau, cabai merah, bawang putih, bawang merah, gula, garam, tomat, minyak"
ayam geprek,"250 gram ayam saya pakai fillet--secukupnya gula dan garam--50-100 gram tepung ayam serbaguna--secukupnya lalapan kemangi,kubis,timun--secukupnya minyak panas--sambal korek--secukupnya cabai rawit merah dan bawang putih--","goreng ayam seperti ayam krispi--ulek semua bahan sambal kemudian campur dengan minyak panas bekas goreng ayam--geprek ayam kemudian campur dengan sambal,sajikan dengan lalapan --",10,idresep4473023-ayam-geprek,"ayam, gula, garam, tepung ayam serbaguna, kubis, timun, minyak, cabai, cabai rawit, bawang putih"
minyak ayam,"400 gram kulit ayam  lemaknya--8 siung bawang putih kating, cincang kasar--1 ruas jahe, geprek--350 mililiter minyak--1 sendok makan ketumbar--","cuci bersih kulit ayam. sisihkan--ambil 50 mililiter minyak satu bahan yg sudah disiapkan tadi. tumis jahe hingga harum.--masukkan kulit ayam, ketumbar dan bawang. biarkan hingga keluar minyak alaminya sambil diaduk-aduk.--tambahkan sisa minyak. masak hingga kulit ayam mengering. angkat dan saring.--setelah cukup dingin minyak ayam tadi dapat disimpan dalam wadah kering seperti mason jarbotol. kalo saya, saya masukkan juga sedikit bawang putih goreng.--kulit ayam yg sudah digoreng kering tadi bisa dinikmati begitu saja sebagai camilan dengan ditaburi sejumput garam lalu aduk rata.--",4,idresep4427438-minyak-ayam,"ayam, bawang putih, jahe, minyak, ketumbar"
nasi bakar ayam,"1 piring nasi--¹⁴ fillet ayam, potong kotak, cuci bersih--daun pisang yang sudah dibersihkan--liditusuk gigi untuk mengapit daun--1 lbr daun salam--3 cm serai, memarkan--1 ikat daun kemangi, opsional--1 cabai merah besar, iris tipis--1 sendok teh kecap manis--minyak untuk menumis--100 mililiter air--bumbu halus--1 cabai merah besar--3 cabai kecil--2 siung bawang merah--1 siung bawang putih--1 kemiri--1 cm kunyit--¹² ruas jahe--¹⁴ tomat--1 sendok teh gula--1 blok kaldu ayam aku biasa pake maggy pake kaldu ayam, kaldu ayam--merica dikira2 z takar nya, aku sdkit z sih--","tumis bumbu halus, masukkan daun salam, serai--masukkan potongan ayam, kecap dan air, masak hingga air menyusut dan koreksi rasa--masukkan irisan cabai merah dan daun kemangi, aduk sebentar dan matikan api--tata daun pisang, tata nasi di atas daun, beri isian ayam atau bisa juga nasi di campur dan diaduk dulu dengan ayam baru di tata di daun pisang, bunbu ayam akan lebih meresap k nasi--setelah nasi di bungkus, barulah nasi di bakar, aku bakar pake teflon z br cepet --sajikan selagi hangat endeusss--note jangan membakar terlalu lama biar nasi ga kotor dari daun yg di bakar kering--",1,idresep4472552-nasi-bakar-ayam,"nasi, ayam, daun pisang, daun salam, serai, daun kemangi, cabai, cabai merah, kecap, kecap manis, minyak, bawang merah, bawang putih, kemiri, kunyit, jahe, tomat, gula, kaldu, kaldu ayam, merica"
ayam saus telur asin,"12 ekor ayam--2 butir telur asin--1 buah cabai merah--1 buah cabai hijau--300 gram terigu--1 bks merica--2 siung bawang putih--1 buah jeruk nipis--secukupnya minyak untuk menumis dan menggoreng--secukupnya gula, garam dan penyedap rasa rasa rasa rasa rasa rasa rasa--","potong ayam menjadi kotak-kotak ukuran sedang cuci bersih kemudian lumuri perasan jeruk nipis, garam dan merica--buat adonan tepung untuk melapisi ayam. adonan a terigu, garam, merica, penyedap rasa rasa rasa rasa rasa rasa dan air es dan adonan b terigu, garam, merica dan penyedap rasa rasa rasa rasa rasa rasa--masukan ayam kedalam adonan a kemudian lapisi dengan adonan b, setelah itu goreng daging kedalam minyak panas sampai berwarna kuning keemasan. angkat tiriskan--cincang bawang putih,iris seron cabai merah dan cabai hijau. lumatkan kuning telur asin aka telur asin dengan air dingin sampai berbentuk pasta--tumis bawang putih dan cabai sampai harum, kemudian tuangkan ayam dan pasta kuning telur.--tambahkan gula, garam, penyedap rasa rasa rasa rasa rasa rasa dan merica secukupnya. tes rasa dan masal hingga mengental--angkat dan sajikan bersama nasi panas. selamat mencoba--",0,idresep4437475-ayam-saus-hintalu-jaruk,"ayam, telur, asin, cabai, cabai merah, cabai hijau, terigu, teri, merica, bawang putih, jeruk nipis, minyak, gula, garam, penyedap rasa"
ayam saus teriyaki merica hitam,ayam bagian dada dan tulang--1 buah bawang bombay--2 siung bawang daun--4 siung bawang putih--1 buah cabai merah besar--1 buah cabai ijo besar--bahan bumbu --secukupnya air--mentega untuk menumis--1 bungkus saus teriyaki 2 sendok makan--1 sendok makan gula--1 bungkus kaldu ayam ayam--larutan meizena--,"cara buat 
1. sediakan teplon or wajan beri sedikit minyak dan masukan bawang putih dan bawang bombay yang sudah di potong potong tumis sampai harum. bisa juga sebelum dimasak ayamnya dibalurkan ke saus teriyaki dan diamkan selama 15 menit agar meresap--2. masukan ayam oseng sampai agak mateng, baru masukan cabai ijo dan merah.
beri sedikit air--3. masukan bumbu kaldu ayam ayan saus teriyaki, gula, dan bubuk merica hitam. cicipin--4. setelah mulai mateng masukan bawang daun jika ingin kental bisa masukan larutan meizena yak. saya tadi gak pake karena tiba tiba amnesia kirain punya tepungnya ternyata udah habis ..
setelah masak siap disajikan dengan nasi angat.--",0,idresep4472877-ayam-saus-teriyaki-lada-hitam,"ayam, bawang bombay, bawang daun, bawang putih, cabai, cabai merah, mentega, saus teriyaki, teri, gula, kaldu, kaldu ayam"
steak ayam,300 gram dada ayam fillet--1 sendok makan air jeruk nipis--secukupnya garam--adonan basah--50 gram terigu--10 gram maizena--14 sendok teh merica--garam--secukupnya air--adonan kering--150 gram terigu--30 gram maizena--12 sendok teh merica--14 sendok teh kaldu jamur--secukupnya garam--secukupnya minyak--bahan saus jamur--50 gram jamur tiram blender--3 bawang putih cincang halus--20 gram keju--1 sendok makan maizena cairkan dgn air--2 sendok makan saus tiram--1 sendok makan kecap manis--12 sendok teh merica halus--secukupnya garam  kaldu jamur--air--bahan pelengkap--buncis dan wortel di kukus--,"cuci bersih ayam, iris tipis melebar, rendam dgn garam dan air jeruk nipis 10 menit, cuci--campur adonan kering, sisihkan--campur adonan basah, sisihkan--panaskan minyak dgn api sedang, gulingkan ayam pada adonan kering, lalu celup ke adonan basah, gulingkan lg pada adonan kering, jgn di remas2, kibas2 ayam pada adonan kering, lalu goreng di minyak yg banyak dan panas, biarkan krispinya terbentuk dl, jgn di balik2 dl, setelah cukup kering br di balik, goreng smpe matang, tiriskan--blender jamur tiram kasih air sedikit. tumis bawang putih yg di cincang halus, masukkan jamur yg di blender, masukkan bumbu2 yg lain sampai meresap, lalu tuang maizena yg sdh di cairkan dgn setengah gelas air, aduk2, masukkan keju, aduk sampai meletup2, tes rasa, klo sdh sesuai, angkat--tata dlm piring, ayam goreng tepung dan sayur kukus, siram dgn saus jamur, taburi bawang daun atau parsley jk ada.--",6,idresep4472822-steak-ayam,"ayam, jeruk nipis, garam, terigu, teri, merica, kaldu, jamur, kaldu jamur, minyak, bawang putih, keju, saus tiram, kecap, kecap manis, wortel, buncis"
ayam saus asam manis simple,14 kilogram ayam bagian dada fillet potong dadu--secukupnya air jeruk nipis utk baluran--1 bungkus tepung bumbu ayam instan ukuran besar  campur sedikit terigu--3 siung b.putih iris tipis--3 siung b.merah iris tipis--1 buah b.bombay iris tipis--1 buah tomat ukuran besar haluskan--3 sendok makan saus sambal--1 sendok makan saus tiram--secukupnya gula  garam--secukupnya merica--,"lumuri ayam yg sdh dipotong dadu dgn garam  perasan jeruk nipis diamkan sebentar--baluri ayam dengan tepung basah, lanjutkan ke tepung kering, diamkan sebentar--goreng ayam yg sdh dbaluri tepung sampai kering  matang, angkat tiriskan.--membuat saus asam manis  -tumis b.merah  putih sy suka klo bawang y agak kering--masukkan bawang bombay, tumis sebentar.--masukkan tomat buah yg sdh dihaluskan tdi, tumis lagi pakai api sedang, tambahkan air secukupnya--masukkan saus sambal, saus tiram, sedikit perasan jeruk nipis, gula, garam  merica koreksi sampai rasanya terasa asam manis gurih segar--masukkan ayam yg sdh digoreng tdi kedalam saus asam manis, diamkan sebentar--setelah ayam sdh cukup merasap dengan saus asam manisnya matikan api dan siap disajikan dengan nasi hangat--",6,idresep4472901-ayam-saus-asam-manis-simple,"ayam, jeruk nipis, terigu, teri, tomat, saus sambal, saus tiram, gula, garam, merica"
mie ayam homemade by suami,bahan mie ayam --1 kilogram terigu proteiin tinggi--4 butir telur--3 sendok minyak--air--secukupnyaa garam--air untuk merebus mie --secukupnya air--minyak--bumbu halus kuah ayam untuk mie ayam --3 dada ayam potong kotak2 jngn terlalu besar--5 siung bawang merah--5 siung bawang putih--4 buah kemiri--secukupnya lada--secukupnya ketumbar--jahe--lengkuas--2 lembar serai--5 lembar daun jeruk--2 lembar daun salam--kecap--gula merah--minyak untuk menumis--bahan pelengkap --bawang daun--sawi hijau--bawang gorengme gak pakai lupa--bahan sambal --20 buah cabai rawit merah--garamagar tidak cepat bau asam--air untuk merebus--,"kocok telur masukan garam n minyak,aduk rata.masukan terigu uleni pakai tangan sampai kalistidak menempel di tangandiamkan 5 menit.--bagi adonan menjadi beberapa untuk memudahkan menggilasnya nanti,pipihkn pakai tangan lalu giling pakai ketebalan 4 setalah itu giling lg pakai ketebalan 1ketebelan selera ya kalau saya suka yg tipis,sebelum di giling ke cetakan mie beri taburan terigu di atas adonannya agar tidak menempel,lakukan sampai adonan habis.--bagi mie menjadi beberapa porsi jngn lupa di beri taburan terigu ya agar tidak menempel.--haluskan semua bumbu halus kecuali daun jeruksalam.--siapkan penggorengan beri minyak untuk menumis bumbu halus,masukan daun jeruksobek2daun salam,serai geprek aja,tunggu sampai harum,lalu masukan ayam beri airbanyak boleh karna untuk kuahnya nantimasukan kecap n gula merah,garampenyedap test rasa.--untuk sambal rebus cabai merah rawit kira2 5menit.--siapkan panci beri air untuk merebus mie, masukan minyak ke dalam air tujuaan untuk tidak menyatu.setelah mendidih masukan mie tunggu sampai mie naik ke atas barubdi angkat.--siapkan mangkok beri garam n kuah ayam aduk2 mie baru di berikan bahan pelengkap.--mie ayam homemade by suami siap di sajikan --",0,idresep4472541-mie-ayam-homemade-by-suamif09f9882f09f9882f09f9882,"ayam, terigu, teri, telur, minyak, garam, bawang merah, bawang putih, kemiri, lada, ketumbar, jahe, lengkuas, serai, daun jeruk, daun salam, kecap, gula, gula merah, bawang daun, sawi, sawi hijau, cabai, cabai rawit"
ayam bakar pedas manis resep nila sari,1 ekor ayam broiler ukuran jumbo--bumbu --5 siung bawang merah--10 buah cabai optional--1 ruas jahe--1 ruas kunyit--secukupnya lada bubuk--secukupnya ketumbar--2 lembar daun jeruk--3 lembar daun salam--1 batang serai--4 siung bawah putih--secukupnya kecap--secukupnya gula merah--secukupnya minyak--secukupnya kaldu ayam--secukupnya garam--1 bungkus santan instan--,"iris tipis bawang merah dan daun jeruk.--haluskan cabai, bawang putih, lada, ketumbar, jahe dan kunyit.--tumis bawang merah hingga wangi.--masukan bumbu yang telah dihaluskan ke dalam tumisan bawang tumis semua hingga harum.--masukan serai, daun jeruk dan daun salam masak sedikit tuang santan instan dan tambahkan air.--kemudian masukan ayam taburi kaldu ayam, lada dan garam aduk aduk tutup dan tunggu ayam empuk dan air mulai susut tes rasa.--bakar ayam bisa menggunakan arang, teflon, atau batu bakar saya memakai grill lebih praktis.--selamat mencoba.--",8,idresep4472362-ayam-bakar-pedas-manis-resep-nila-sari,"ayam, bawang merah, cabai, jahe, kunyit, lada, ketumbar, daun jeruk, daun salam, serai, kecap, gula, gula merah, minyak, kaldu, kaldu ayam, garam, santan, santan instan"
