Title,Ingredients,Steps,Loves,URL,Main Ingredients
gurame saus padang,bahan utama--1 ekor gurame--bumbu untuk saus--4 siung bawang putih cincang halus--3 siung bawang merah cincang halus--15 bh cabai merah giling banyaknya cabai sesuai selera ya--7 buah cabai rawit iris tipis sesuai selera--12 bawang bombang iris--saus tiram--saus tomat--garam--gula--lada--1 bh wortel iris tipis memanjang opsional--1 buah tomat potong dadu opsional--1 batang irisan bawang daun--1 ruas jahe ukuran kecil iris tipis--tepung maizena--250 mililiter air--bumbu untuk menggoreng ikan --tepung beras--terigu--garam--jeruk nipis lemon--minyak--,"cuci bersih ikan gurame yang akan dimasak. setelah itu lumuri ikan dengan air perasan jeruk nipislemon diamkan beberapa menit untuk menghilangkan bau amisnya--campur terigu,tepung beras dan garam menjadi satu,kemudian lumuri ikan dengan tepung tersebut lalu goreng hingga matang lalu tiriskan. pastikan minyak yang digunakan sudah panas ya biar ikannya tidak lengket.--tumis bawang merah bawang putih hingga harum,kemudian masukan cabai yang sudah giling, aduk rata--tambahkan bawang bombay,saus tiram saus tomat dan jahe, aduk sebentar lalu tambahkan 250ml air--kemudian tambahkan garam dan gula sesuai selera.--masukkan irisan cabai rawit dan bawang daun dan tomat. aduk rata. kemudian tambahkan larutan maizena agar saus mengental--jika tidak ada tepung maizena. diamkan beberapa menit hingga kandungan air menyusut dan saus terlihat mengental--tes rasa. jika sudah pas. sajikan dan gurame saus padang siap disantap!--",2,idresep4474009-gurame-saus-padang,"gurami, bawang putih, bawang merah, cabai, cabai merah, cabai rawit, saus tiram, tomat, garam, gula, lada, wortel, bawang daun, jahe, ikan, tepung beras, beras, terigu, minyak"
ikan kembung bakar,"12 kilogram ikan kembung sate, bersihkan--1 buah jeruk satejeruk kunci--1 sendok makan garam halus--2 sendok teh lada bubuk--1 sendok makan ketumbar--","kucuri ikan dengan jeruk, diamkan 5 menit--lumuri ikan dg garam, lada dan ketumbar, simpan d kulkas sekitar 30 menit--bakar d atas teflon yg d olesi mentega butter tipis dengan api yg kecil--balik untuk membakar kedua bagian ikan.--sajikan dengan cocolan sambal kecap--",2,idresep4474225-ikan-kembung-bakar-teflon,"ikan, ikan kembung, garam, lada, ketumbar"
mujair asam pedas manis,12 kilogram ikan mujair stok gurame habis--2 buah wortel potong korek api--1 siung bawang bombay--7 siung bawang putih--13 cabai rawit--4 siung bawang merah--2 sendok makan saus tomat--2 sendok makan saus tiram--garam--merica--100 mililiter air matang--jahe--jeruk nipis--,"bersihkan ikan sampai benar-benar bersih. kerat-kerat dagingnya. beri garam, merica, potongan jahe perasan jeruk nipis, dan 2 siung bawang uleg. diamkan 10 menit--uleg 5 bawang putih yang tersisa. potong bawang bombay dan dan bawang merah dan cabai rawit.--goreng ikan mujair hingga matang, lalu sisihkan.--tumis bawang merah dan bawang bombay hingga wangi, masukkan bawang putih uleg. tumis hingga wangi.--masukkan wortel, tambahkan air. aduk-aduk. tunggu hingga wortel hampir matang.--masukkan saus tomat dan saus tiram. beri perasan jeruk nipis. aduk-aduk koreksi rasa. jika sudah pas, masukkan ikan, aduk sebentar saja.--siap disajikan.--",1,idresep4473689-mujair-asam-pedas-manis,"ikan, mujair, gurami, ikan mujair, wortel, bawang bombay, bawang putih, cabai, cabai rawit, bawang merah, tomat, saus tiram, garam, merica, jahe"
gurame asam manis,"12 kilogram ikan gurame--2 buah wortel potong seperti batang korek api--bumbu--5 siung bawang merah--4 siung bawang purih--1 bh tomat--cabai besar selera brp j--cage kecil selera brp j--2 sacet saus sambal--saus tomat q pakek saus botolan--bahan tambahan--tepung maezena--kunyit--garam, gula, merica ladaku--","uleg kunyit sama garam kasih air lalu guraminya d rendam, diem in sekitar 10menitan lalu goreng gurame--untuk saus asam manis nya, gongso semua bumbu sampek harum, masukan wortel setelah itu kasih saus dan garam gula merica ladaku, rasain setelah pas rasanya baru masukan tepung meizena yg sudah d cairkan dengan air setelah mengental angkat--tata gurame d atas piring siram saosnya dan siap di santaaap...--",5,idresep4473428-gurame-asam-manis,"ikan, gurami, wortel, bawang merah, tomat, cabai, saus sambal, kunyit, lada, merica, gula, garam"
asam padeh ikan tuna,12 kilogram ikan tuna--6 siung bawang merah--4 siung bawang putih--2 ruas kemiri--2 batang serai--2 ruas kunyit--2 ruas lengkuas--4 lembar daun jeruk--1 lembar daun kunyit--2 buah asam kandis--4 buah belimbing hulu--6 buah cabai merah bisa disesuaikan--10 buah cabai rawit bisa disesuaikan--3 gelas air--2 sendok garam--12 sendok gula--,"haluskan bumbu cabai merah, kemiri, bawang, kunyit, lengkuas--tumis bumbu sampai berubah warna--tambahkan air--masukkan serai yg sudah di geprek, daun kunyit, daun jeruk, asam kandis, belimbing hulu, dan cabai rawit utuh tdk dihaluskan dan tdk dipotong--tunggu sampai mendidih--setelah mendidih, masukkan ikan tuna sudah dicuci bersih dan diberi air perasan jeruk--kemudian beri garam dan gula secukupnya--tunggu sampai air sedikit berkurang dan mengental--asam padeh ikan tuna siap disajikan--",7,idresep4473138-asam-padeh-ikan-tuna,"ikan, ikan tuna, tuna, bawang merah, bawang putih, kemiri, serai, kunyit, lengkuas, daun jeruk, daun kunyit, cabai, cabai merah, cabai rawit, garam, gula"
avocado tuna salad,1 kaleng tuna chunks--2 butir telur rebus--3 buah kentang rebus--2 buah avocado--2 buah bawang merah--12 biji zaitun--1 buah timun--sebongkol daun saladalettuce--secukupnya garam  merica--,"campur semuanya dalam baskom, kecuali biji zaitun, telur rebus. lalu tambahkan garam  merica--tuang dalam piring saji, atur irisan telur  biji zaitun. siap disajikan.--",0,idresep4473223-avocado-tuna-salad,"tuna, telur, kentang, bawang merah, timun, lada, kol, merica, garam"
lele asam manis,12 kilogram lele segar--180 mililiter air--3 sendok makan kecap manis--1 sendok makan margarineminyak--12 sendok teh saus tiram optional--bumbu halus --6 siung bawang merah--5 siung bawang putih--4 cabai merah bisa lebih sesuai selera--2 buah kemiri--1 sendok teh garam sesuai selera--12 sendok teh penyedap rasa rasa sesuai selera--12 sendok teh gula sesuai selera--,"cuci bersihbikan, lalu goreng ikan lele agak matang tapi jangan sampai renyah. tiriskan--sambil menunggu, haluskan semua bumbu di atas.--panaskan wajan dengan margarin.--masukkan bumbu halus ke dalam wajan sampai harum. tambahkan kecap, saus tiram dan air--setelah berbau harum, barulah ikan lele dimasukkan.--tunggu sampai bumbu meresap serta tes rasa. setelah air tnggal sedikit, angkat dan sajikan.. semoga membantu..--",0,idresep4473217-lele-asam-manis,"lele, kecap manis, minyak, margarine, saus tiram, bawang merah, bawang putih, cabai, cabai merah, kemiri, garam, penyedap rasa, gula"
pempek kulit ikan tenggiri,500 gr kulit ikan tenggiri halu--200 cc air matang--1 sendok teh garam--1 sendok teh penyedap rasa kaldu jamur--12 sendok teh merica--12 sendok teh gula--60 mililiter santan kental--5 siung bawang putih--5 siung bawang merah--350 gr sagu tani--2 sendok makan terigu--100 gr sagu untuk balur--,aduk ikan tambahkan air sedikit demi sedikit bersamaan dgn garam--masukkan terigu bersama santan--masukkan sagu--balurin tangan dgn sagu bentuk adonan dgn sendok makan--letakkan di piring yg ditabur sagu--goreng minyak panas sampai mengembang--dinginkan--potong2 lalu goreng--siap menggoyang lidah sajikan dgn cuko--,6,idresep4472657-pempek-kulit-ikan-tenggiri,"ikan, ikan tenggiri, garam, kaldu, penyedap rasa, jamur, kaldu jamur, merica, gula, santan, bawang putih, bawang merah, terigu"
tumis tongkol petai,2 bungkus tongkol--2 cabai gendot--2 papan petai--2 cabai rawit--2 bh cabai merah--3 bh b. merah--3 bh b. putih--2 lembar daun salam--secukupnya garam--secukupnya gula--,"cuci bersih ikan tongkol, goreng sebentar--iris b. merah, b. putih, cabai merah, cabai rawit, cabai gendot. tumis--masukan petai, tambahkan sedikit air. masukan garam, gula. cek rasa. sajikan--",6,idresep4472513-tumis-tongkol-petai,"kol, tongkol, cabai, cabai gendot, petai, cabai rawit, cabai merah, daun salam, garam, gula"
ikan patin pedas manis,500 gr ikan patin--5 siung bawang merah iris tipis--4 siung bawang putih iris tipis--12 bawang bombay ukuran kecil iris tipis--cabai merah keriting sesuai selera iris tipis--cabai rawit setan sesuai selera biarkan utuh--1 ruas lengkuas digeprek--2 lembar daun jeruk--2 sendok makan kecap--3 batang bawang daun iris tipis--,"ikan patin yang sudah dicuci bersih, dilumuri garam kemudian digoreng setengah kering--tumis irisan bawang merah, putih, bombay dan cabai sampai dengan harum--masukkan ikan yang sudah digoreng sebelumnya, kemudian tambahkan sedikit air--masukkan kecap, lengkuas, daun jeruk, garam dan gula. koreksi rasa--biarkan sampai dengan meresap ke dalam daging ikan, setelah benar2 meresap terakhir masukkan irisan bawang daun dan cabai rawit setan, kemudian angkat dan sajikan--",0,idresep4472909-ikan-patin-pedas-manis,"ikan, ikan patin, bawang merah, bawang putih, bawang bombay, cabai, cabai merah, cabai rawit, lengkuas, daun jeruk, bawang daun"
