Title,Ingredients,Steps,Loves,URL,Main Ingredients
.sate kambing,bahan-bahan --500 gram daging kambing--daun pepaya--bumbu yang dihaluskan --4 siung bawang merah--4 siung bawang putih--2 cm jahe--1 sendok teh ketumbar--12 sendok teh lada bubuk--12 sendok teh garam--1 sendok makan air asam jawa--bahan sambal kecap --kecap manis sesuai selera aku pake bango--cabai rawit--bawang merah--tomat--jeruk limau--,"1. cuci bersih daging kambing, potong"" kotak, bungkus didalam lapisan daun pepaya 30menit--2.setelah 30 menit, keluarkan daging dr daun pepaya, campurkan dengan bumbu yang sudah dihaluskan, diamkan 15 menit--3. susun daging pada tusuk sate kurlen 4-5 potong per tusuk--4. bakar bisa pakai arang  teflon--5. bolak balik sate hingga benar"" matang--6. sajikan dengan sambal kecap--",6,idresep4470066-sate-kambing,"daging kambing, bawang merah, bawang putih, jahe, ketumbar, lada, garam, air asam jawa, kecap, kecap manis, cabai, cabai rawit, tomat, jeruk limau"
rabeg kambing,1 kilogram daging kambing bagian paha beserta tulang--bumbu halus--100 gram cabai--7 siung bawang putih--8 siung bawang mersh--7 butir kemiri--2 cm jahe--1 ruas kunyit--12 sendok teh klabet--12 sendok teh jinten--bumbu lain--1 batang serai--3 lembar daun salam--2 cm kayu manis--5 butir cengjeh--3 kapulaga hijau--5 sendok makan kecap manis--garam--gula--pelengkap--acar--bawang goreng--,tumis bumbu halus hingga harum. masukan bumbu bumbu lain kecuali kecap.--masukan daging kambing. aduk sampai daging terbalut bumbu dan berubah warna--pindahkan tumisan daging ke panci. tambahkan air. beri kecap gulz dan garam. masak sampai daging empuk dan air tinggal sedikit--sajikan dengan nasi dan pelebgkap--,6,idresep4469170-rabeg-kambing,"daging kambing, cabai, bawang putih, kemiri, jahe, kunyit, serai, daun salam, kecap, kecap manis, garam, gula"
gulai kambing,"500 gram daging kambing--bumbu --sesuai selera santan--2 btng serai,memarkan--5 lembar daun salam,jeruk--sesuai selera cabai--2 butir cengkeh--bumbu halus--5 siung bawng merah--4 siung bwng putih--5 butir kemiri--2 cm kunyit--2 cm jahe--2 cm lengkuas--1 sendok teh ketumbar--merica,pala,garam,gula seckpnya--","rebus daging kambing dgn jahe krng lbh 20 menit lalu buang airnya,cc bersih--tumis bumbu yg sudah dihaluskn,,masukn semua bahan dan bumbu--rebus sampe empuk--terakhir masukn santan,tes rasa,,,--sajikan dimangkok,yumm --",0,idresep4467084-gulai-kambing,"daging kambing, santan, serai, daun salam, cabai, kemiri, kunyit, jahe, lengkuas, ketumbar, merica, garam, gula"
sayur tulang kambing,1.5 kilogram tulang sumsum kambingdirebus dahuluagar bau amis hilang--kacang panjang--pepaya muda--10 buah cabai rawit--2 buah cabai merah besar--2 buah cabai hijau besar--5 bawang putih--5 bawang merah--2 kemiri--garam--1 bungkus kaldu ayam--12 sendok makan gula--minyak--irisan potongan bawang merah 5 siung--irisan potongan bawang putih 5 siung--santan kelapa--,"haluskan bawang merah 5 siung dan 5 bawang putih beserta cabai rawit dan kemiri.--panaskan kompor ksh sedikit minyak, masukkan irisan cabai besar merah, hijau serta bawang putih dan merah sampai setengah matang--lalu masukkan cabai,kemiri,bawang merah dan bwang putih yg telah di haluskan,tumis sampai matang--masukkan sedikit air pada tumisan tadi...lalu masukkan sayuran beserta tulang sumsum kambing yg sudah di rebus tadi--terakhir masukkan santan, garam, 1bungkus kaldu ayam, gula..tunggu sampai mendidih aduh terus agar santannya tidak pecah.--matikan kompor...sayur tulang kambing siap di hidangkan--",1,idresep4458778-sayur-tulang-kambing,"tulang sumsum kambing, kacang panjang, cabai, cabai rawit, cabai merah, cabai hijau, bawang putih, bawang merah, kemiri, garam, kaldu, kaldu ayam, ayam, gula, minyak, santan"
sate kambing,300 gram daging kambing--12 buah jeruk nipis--secukupnya kecap manis--bumbu kacang--100 gram kacang tanah goreng--3 siung bawang merah--2 siung bawang putih--1 buah cabai merah besar--5 buah cabai rawit merah sesuai selera--2 butir kemiri--4 lembar daun jeruk--200 mililiter air--2 sendok makan kecap manis--2 sendok makan gula merah iris--secukupnya garam--bahan tambahan --acar wortel timun bawang cabai rawit--bawang goreng--,"potong daging kambing sesuai selera, beri perasan jeruk nipis, diamkan 10 menit, kemudian cuci bersih.. setelah itu tusukan daging pda tusuk sate--buat bumbu kacang 1. blender kacang tanah dengan air sampai halus. 2.haluskan bumbu bawang cabai kemiri tumis bumbu halus sampai harum. beri garam gula merah dan kecap.. aduk rata.. kemudian beri cairan kacang tanah.. aduk rata, koreksi rasa.. aduk terus agar tidak menggumpal... kekentalan saus kacang sesuai selera.. kemudian angkat.--taruh dalam piring, saus kacang 3sdm dan kecap manis 3 sendok makan, aduk rata... baluri sate dengan bumbu ini sampai rata... kemudian bakar sampai matang...--setelah matang sate disajikan demgan saus kacang, acar, bawang goreng, dan nasilontong.. nikmat satenya besar-besar.... --",7,idresep4462884-sate-kambing,"daging kambing, jeruk nipis, kecap, kecap manis, kacang tanah, bawang merah, bawang putih, cabai, cabai merah, cabai rawit, kemiri, daun jeruk, gula, gula merah, garam, wortel, timun"
sop kaki kambing,"4 kaki kambing--2-3 buah kentang, potpng dadu besar--3-4 batang bawang daun, iris 2 cm--2-3 liter air panas--2-3 sendok makan minyak utk menumis--bumbu halus--4 buah bawang merah--8 buah bawang putih--1 sendok makan garam--1 sendok teh lada bubuk--12 sendok teh pala bubuk--bumbu lainnya--5 buah cengkeh--4 buah kapulaga india--1 batang kayu manis--2 buah star anise--4 lembar salam koja bay leaves--","bakar kaki kambing utk menghilangkan bulu2 halus dan baunya. kerok sesekali lalu celupkan ke air panas mendidih. lakukan hingga kaki benar2 bersih. lalu potong2 sesuai selera.--panaskan minyak, tumis bumbu halus hingga harum. masukan air panas dan bumbu lainnya. masak hingga mendidih.--masukan kentang dan kaki kambing. masak hingga kentang matang dan kaki kambing empuk.--masukan sisa bahan. masak 3-4 menit lalu matikan api. sajikan hangat.--",9,idresep4447258-sop-kaki-kambing,"kaki kambing, kentang, bawang daun, minyak, bawang merah, bawang putih, garam, lada"
kari kambing ala bundo,"daging kambing ½ kilogram, potong-potong, lumuri dengan sedikit bumbu halus dan biarkan 15 menit--10 siung bawang merah, iris halus--1 buah tomat, potong tipis--6 butir cengkeh--3 buah peka--5 buah kapulaga--9 siung bawang putih, iris halus--500 mililiter santan dari 1 butir kelapa 1,5 bungkus segitiga santan kemasan--150 mililiter susu cair--500 mililiter air--3 ruas jari kayu manis--2 lembar daun jeruk purut buang tulangnya--10 lembar daun kari--1 sendok teh  garam dan gula sedikit hanya untuk menambah rasa--secukupnya minyak--bumbu halus--12 sendok teh jinten, sangrai--1 sendok teh adas, sangrai--10 siung bawang merah--15 buah cabai merah--10 buah cabai rawit merah--6 siung bawang putih--1 sendok makan ketumbar, sangrai--2,5 cm 1 ruas jari  jahe--5 cm 2 ruas jari  kunyit diameter kecil--2,5 cm 1 ruas jari  lengkuas--","tumis hingga harum bawang merah iris, bawang putih, kayu manis, cengkeh, peka, kapulaga kemudian masukkan bumbu halus, masukkan daun jeruk dan daun kari,--masukkan daging kambing dan buah tomat, masak hingga daging kambing berubah warna dan keluar airnya--tambahkan air, masak hingga setengah matang--masukkan santan dan susu cair, masak hingga matang atau empuk.--daging kari kambing siap dihidangkan bersama acar, roti pratha dan es thai tea.--",1,idresep4376163-kari-kambing-ala-bundo,"daging kambing, bawang merah, tomat, bawang putih, santan, susu cair, daun jeruk, jeruk purut, daun kari, gula, garam, minyak, cabai, cabai merah, cabai rawit, ketumbar, jahe, kunyit, lengkuas"
tongseng kambing presto,250 gram iga kambing  daging kambing--200 gram kubis--bumbu halus --4 siung bawang merah--4 siung bawang putih--1 ruas kunyit bakar--3 buah kemiri sangrai--1 sendok teh ketumbar sangrai--12 sendok teh jinten--2 buah cabai merah besar--1 ruas jahe--bumbu tambahan--4 lembar daun jeruk--2 batang serai--1 ruas lengkuas--2 batang bawang daun--2 buah tomat--5 buah cabai rawit merah--2 sendok makan santan instan--secukupnya gula garam--,"potong daging kambing sesuai selera, cuci bersih kemudian masukan ke panci presto.--masukan bumbu halus yg sudah ditumis, tambahkan air, sampai daging kambing terendam semua... tambahkan daun jeruk, serai, lengkuas, masak sesuai petunjuk panci presto.. me 20 menit dari keluar uap pertama--sambil menunggu, rajang halus bawang daun, belah 4 tomat, potong kasar kubis, cairkan santan dengan 300ml air.--setelah 20 menit, matikan kompor, tunggu sampai uap habis.--buka tutup panci, beri santan, kubis, bawang daun, dan tomat, cabai rawit sesuai selera, aduk rata.. beri gula garam.. koreksi rasa.. masak sampai mendidih.. angkat dan sajikan..--beri taburan bawang goreng.. makan dengan nasi hangat... --",9,idresep4442026-tongseng-kambing-presto,"daging kambing, iga kambing, kubis, bawang merah, bawang putih, kunyit, kemiri, ketumbar, cabai, cabai merah, jahe, daun jeruk, serai, lengkuas, bawang daun, tomat, cabai rawit, santan, santan instan, gula, garam"
telur dadar otak kambing,otak kambing--2 butir telur ayam--penyedap rasa rasa rasa rasa rasa rasa kaldu ayam--3 siung bawang merah--1 siung bawang putih--bawang daun secukupnnya--cabai rawit 3 biji adanya--garam--1 lembar daun salam--jahe kunyit seujung jari kelingking dikit aja--minyak untuk numis--,cuci otak. kambing smpe bersih cuci semua bumbu--geprek jahe kunyit dan campurkan ke otak kambing jgn lupa daun salam lalu kukus sekitar 15 menit kurg lbh--bawang merah putih cabai bawang daun di iris ya ke mangkok lain campur semua bahan kecuali salam buang aja krna itu bekas kukusan aduk bersama telur otak kambing--lalu goreng smpe. kekuningan ya--angkat tiriskan siap di santap pake nasi anget sedapp selamat mencoba--,1,idresep4435937-telur-dadar-otak-kambing,"otak kambing, ayam, telur, kaldu, kaldu ayam, penyedap rasa, bawang merah, bawang putih, bawang daun, cabai, cabai rawit, garam, daun salam, kunyit, jahe, minyak"
sate kambing siram sambal bawang kecap,"bumbu daging--1 kilogram daging kambing--1,5 sendok teh ketumbar--1 bungkus royko--1 sendok teh gula--1,5 sendok teh bawang putih bubuk3 siung bawang putih--2 sendok makan minyak--secukupnya garam--secukupnya kecap--untuk kuah--3 siung bawang merah--6 buah cabai rawit--secukupnya kecap--",potong2 daging lalu masukkan bumbu daging...diamkan selama 12 jam--tusuk2 sate--lalu di bakar--untuk kuah tinggal di potong2 saja bawang merah dan cabai rawit siramkan kecap sesui selera lalu di tekan2 degn sendok--,1,idresep4415488-sate-kambing-siram-sambal-bawang-kecap,"daging kambing, ketumbar, gula, bawang putih, minyak, garam, kecap, bawang merah, cabai, cabai rawit"
