Title,Ingredients,Steps,Loves,URL,Main Ingredients
beef teriyaki,"250 gr daging sapi--1 siung bawang bombay--5 siung bawang putih--1 sachet saus teriyaki sy pk yg saor, bsa diganti saus tiram--1 sendok makan kecap manis--secukupnya garam--secukupnya lada--secukupnya gula--secukupnya penyedap rasa rasa--","potong kecil-kecil memanjang daging sapi, lalu cuci bersih--tambahkan garam dan lada diamkan selama kurleb 15 menit--iris bawang bombay dan bawang putih--tumis bawang bombay dan bawang putih, setelah harum masukkan daging--tumis daging sebentar lalu tambahkan saus teriyaki, kecap manis, garam, lada, gula dan penyedap rasa rasa, beri air sedikit--tutup wajannya agar panasnya merata--tunggu sampai daging matang, lalu garnish sesuai selera--beef teriyaki siap untuk disantap--",0,idresep4473529-beef-teriyaki,"daging sapi, bawang bombay, bawang putih, saus tiram, saus teriyaki, kecap manis, garam, lada, gula, penyedap rasa"
rendang sapi,1 kilogram daging sapi--4 butir kelapa untuk 2l santan kental--bumbu dihaluskan --200 gram cabai merah--12 cm jahe--2 sendok makan ketumbar sangrai--10 butir kapulaga--10 butir cengkeh--2 butir bunga lawang--1 buah biji pala--13 butir bawang merah--7 butir bawang putih--25 buah cabai rawit jika suka pedas--3 cm lengkuas dipipihkan--2 buah serai dipipihkan--3 lembar daun jeruk--3 lembar daun salam--2 lembar daun kunyit--12 sendok makan garam tambahkan jika kurang asin--1 sendok teh kaldu optional--,"potong daging berlawanan dari seratnya--peras santan dari 4 butir kelapa tua menjadi 2 liter--haluskan bumbu--tuang santan dan bumbu ke dalam wajan anti lengket, masak hingga mendidih--kemudian masukkan daging, garam dan kaldu. masak dengan api kecil sambil sesekali di aduk agar tidak gosong--sampai tahap ini dinamakan kalio, teruskan memasak hingga daging mulai mengering dan kehitaman--rendang siap dinikmati--",1,idresep4473035-rendang-sapi,"daging sapi, santan, cabai, cabai merah, jahe, ketumbar, bawang merah, bawang putih, cabai rawit, lengkuas, serai, daun jeruk, daun salam, kunyit, daun kunyit, garam, kaldu"
tongseng daging sapi pedas,"300 gr daging sapi iris tipis panjang--bumbu halus --7 siung bawang merah--4 siung bawang putih--2 cm jahe--1,5 cm kunyit--3 bh kemiri--5 cabai merah keriting--bumbu pelengkap --2 batang serai--2 daun salam--2 daun jeruk--5 bh cabai rawit merah utuh--toping--1 bh tomat besar iris sedang--kubis secukupnya menurut selera iris sedang--","tumis bumbu halus dengan sedikit minyak, tumis sampai matang dan mengental. lalu masukkan daging sapi yang telah dipotong2 tadi. lalu masukkan bumbu pelengkap. tumis daging dengan bumbu sampai daging sapi berubah warna dan agak mengeluarkan minyak.--masukkan air secukupnya sekitar 1,5 liter biarkan mendidih sebentar lalu kecilkan api dan tutup panci. tunggu sampai daging empuk..--setelah daging empuk masukkan kubis dan tomat, masak sebentar saja agar tekstur kubis agak crunchy.. angkat lalu sajikan--",3,idresep4472871-tongseng-daging-sapi-pedas,"daging sapi, bawang merah, bawang putih, jahe, kunyit, kemiri, cabai, cabai merah, serai, daun salam, daun jeruk, cabai rawit, tomat, kubis"
semur daging sapi,"12 kilogram daging sapi--1 biji bawang bombay--2 siung bawang putih 5--5 siung bawang merah--1 bungkus ladaku--1 bungkus kaldu ayam sapi--3 lembar daun jeruk--1 bunga lawang--2 biji jeruk nipis--secukupnya kecap manis, gula--air--","potong2 daging sesuai selera, cuci dan lumuri dengan air jeruk, aduk2 dan cuci lagi--rebus daging sampe setengah mateng--sambil nungu daging direbus, bawang putih digeprek dan diiris2, bawang merah jg bawang bombay--tumis bawang yg sudah diiris masukkan daging, daun jeruk, ladaku, bunga lawang dan pala, aduk2--tambahkan air sampe daging terendam, masukkan kaldu ayam, kecap dan gula kalo sy ditambahin lg garam sedikit--aduk2 dan koreksi rasa, biarka sampe airnya berkurang dikit tapi jangan sampe habis airnya--hidangkan dengan kerupuk udang, hhmmmm ennaakkk--",0,idresep4472987-semur-daging-sapi,"daging sapi, bawang bombay, bawang putih, bawang merah, lada, kaldu, kaldu ayam, ayam, daun jeruk, gula, kecap manis"
tongseng daging sapi,500 gram daging sapi--santan boleh pakai kara 1 bungkus kelapa parut 12 buah--bawang merah 12 siung 6 siung untuk bawang goreng--8-10 siung bawang putih--14 kubis--2 buah tomat--5 pcs bawang daun--6 cm kunyit--5 cm jahe--6 cm lengkuas--3 lembar daun salam--3 lembar daun jeruk--5 pcs kemiri--1 sendok teh ketumbar--1 sendok makan kecap--2 pcs cabai merah--10 pcs cabai rawit--secukupnya garam--secukupnya penyedap rasa rasa--1 bungkus merica ladaku--,"cuci daging sapi dan potong kecil-kecil sesuai selera.--masukkan daging sapi dalam air mendidih dan masak hingga empuk.--lembutkan bawang putih,bawang merah,kunyit,kemiri,ketumbar,dan cabai merah.--tumis bumbu yang sudah dilembutkan tadi dan daun salam, daun jeruk, lengkuas,jahe, cabai rawit utuh,ladaku. tumis hingga baunya harum.--potong memanjang tomatnya, kubis dan bawang daun potong sesuai selera.--masukkan bumbu tersebut yang sudah ditumis tadi kedalam rebusan daging yang sudah empuk. lalu masukkan kubis,bawang daun dan tomat serta santan.--masukkan juga garam,kecap dan penyedap rasa rasa.--cek rasa. kalau sudah mendidih dan rasa sudah pas, tongseng daging sapi siap disajikan. taburi bawang goreng saat penyajiannya--",2,idresep4472530-tongseng-daging-sapi,"daging sapi, santan, kelapa parut, bawang merah, bawang putih, kubis, tomat, bawang daun, kunyit, jahe, lengkuas, daun salam, daun jeruk, kemiri, ketumbar, cabai, cabai merah, cabai rawit, garam, penyedap rasa, lada, merica"
beef black pepper spaghetti,"220 gram spaghetti la fonte, rebus sampai al dente--1 ons daging sapi, iris lawan arah--bahan perendam daging--secukupnya saus tiram--secukupnya kecap asin--secukupnya soda kue--bumbu black pepper instant merk my taste--1 siung bawang putih besar cicang kasar--12 babom potong kotak--2 helai bawang daun potong 2cm--secukupnya kecap asin--",setelah spaghetti al dente beri sedikit minyak supaya tdk menempel--daging yg sudah di marinated digoreng 34 mateng dgn sedikit minyak. sisihkan--tumis babom dan bawang putih sampai harum layu. masukkan bumbu black pepper instant lalu masukkan spaghetti dan daging sapi. aduk rata. beri sedikit kecap asin. dan bawang daun. aduk rata. koreksi rasa bila perlu.--sajikan dengan cinta--,5,idresep4471729-beef-black-pepper-spaghetti,"spaghetti, daging sapi, saus tiram, kecap asin, bawang putih, bawang daun"
carbonara linguine smooked beef,"pasta linguine bisa pasta lain sesuai selera - 200gr--3 strip smooked beef potong kecil-kecil--keju parmesan atau sering saya ganti cheddar--14 bagian awang bombay kecil--1 siung kecil awang putih selera--susu full cream  cooking cream--1 butir telur--lada, garam--daun basil--2 sendok makan margarin--","rebus pasta dengan sedikit garam lalu sisihkan--parut keju cheddar banyaknya sesuai selera lalu sisihkan--potong kasar dan agak besar bawang bombay. potong halus bawang putih.--panaskan 2 sendok makan margarin lalu tumis bawang bombay dan bawang putih sebentar jangn sampai berwarna coklat.--masukan smooked beef yang sudah di slice lalu tumis sampai agak matang.--saya lebih senang menggunakan susu tapi bisa juga dengan cooking cream jika ingin tekstur berat dan kental, versi saya akan gunakan susu full cream - 200 mililiter--masukkan 34 keju pada susu yang mulai mendidih. sisakan 14 dari yang sudah di parut untuk taburan. aduk rata--masukkan pasta, lalu tambahkan seasoning lada dan garam sesuai selera. aduk rata sampai agak kental, terakhir kecilkan api lalu masukkan 1 butir telur ke atas masakan dan aduk cepat sampai merata jangan sampai putih telur matang duluan. telur akan membuat tekstur saus carbonara semakin kental. ingat langsung aduk rata jangan sampai matang duluan karena panas yang di hantarkan.--terakhir setelah bercampur rata dan aroma keluar matikan kompor dan masukkan 2 helai kecil daun basil lalu aduk kembali. tempatkan di piring lalu taburi keju  parmesan. semoga bermanfaat dan disukai.--",1,idresep4471643-carbonara-linguine-smooked-beef,"keju, telur, lada, garam"
semur jantung sapi,15 kilogram jantung sapi--bumbu halus --5 siung bawang putih--4 siung bawang merah--1 sendok teh ketumbar--1 sendok teh lada putih--4 butir cengkeh  14 sendok teh cengkeh--secukupnya garam--secukupnya pala--14 sendok teh jinten--14 sendok teh jahe bubuk atau 1 cm jahe biasa--2 buah kemiri--bumbu tambahan --1 sendok makan kecap inggris atau sesuai selera--1 sendok teh saori teriyaki--secukupnya kaldu ayam--1 buah gula merah--kecap secukupnya atau sesuai selera--secukupnya vetsin--secukupnya gula--air putih 500 mililiter atau di sesuaikan dengan banyaknya jantung yang akan di masak--bawang bombay 1 buah ukuran di kira-kira saja--delmonte barbeque sauce 3 atau 4 sendok makan--opsional 4 buah cabai hijau kecil--,"potong-potong jantung sapi dan lumurkan delmonte barbeque sauce kemudian diamkan di dalam kulkas hingga menyerap--ulek bumbu halus yang sudah di sebutkan di atas--potong-potong bawang bombay--kemudian, tumis bumbu halus hingga wangi dan bau kemiri tidak tercium--masukan bawang bombay kedalam katel--kemudian masukan jantung yang udah di diamkan teraebut dan aduk rata--tambahkan air--tambahkan saori saus teriyaki--masukan gula merah--tambahkan kecap manis--tambahkan kaldu ayam--tambahkan vetsin--tambahkan gula--tambahkan kecap inggris--opsional kalau kurang pedes, bisa di tambahin cabai hijau kecil di iris-iris--tunggu hingga air aga saat, dan kemudian bisa di hidangkan--",2,idresep4469770-semur-jantung-sapi,"jantung sapi, bawang putih, bawang merah, ketumbar, lada, garam, jahe, kemiri, saori, kaldu, kaldu ayam, ayam, gula, gula merah, ikan, bawang bombay, cabai, cabai hijau"
daging sapi cincang taousi cah buncis,1 ons daging sapi cincang--14 buncir atau kira2--bumbu--bawang putih--taousi hitam--lada bubuk--garam--gula--kaldu ayam kaldu sapi atau ayam--minyak wijen--kecap asin--,cincang daging sapi di beri bumbu kecap asin minyak wijen gula tepung kanji secumput aduk rata diamkan dulu biar meresap--potong panjng buncis.cincang bawang putih dan tousi--tumis daging cincang yg sudah di bumbuin aduk sdh agk matang angkt siaihkn--kasih minyak dikit di wajan tumis bawang dan tousi yg di cincang tumis sampi harum dan masukan buncis kasih sedikit garam dan gula aduk dan ksh sdikit air tutup biarkan matang--lalu terakhir masukan daging cincang yg sdh di tumis tadi campur kdlm wajan buncis tumis bentr angkt--tumia buncis daging sapi cincang siap di hidangkan..silakn mencoba--,1,idresep4469431-daging-sapi-cincang-taousi-cah-buncis,"daging sapi, bawang putih, lada, garam, gula, kaldu, kaldu ayam, ayam, minyak, minyak wijen, kecap asin"
sayur asem kacang merah daging sapi,14 kilogram kacang merah--14 kilogram daging sapi--5 siung bawang merah--2 siung bawang putih--2 buah cabai merah--1 butir tomat--asam jawa--1 batang bawang daun--gula merah--garam--sedikit bumbu masak--2 lembar salam--,"rebus kacang merah sampai empuk sisihkan--rebus daging sampai empuk potong kotak kecil--iris semua bumbu--panaskan 1 liter kaldu bekas rebusan daging tadi tambahkan air kalau kurang, setelah mendidih tambahkan kacang merah, daging, bumbu yg sdh diiris, garam secukupnya, gula merah secukupnya, sedikit gula biar gurih, bumbu masak sy pakai kaldu ayam rasa sapi sedikit saja, 2 lembar daun salam biarkan bumbu meresap sekitar 10-15 menit. angkat hidangkan sayur kacang merah siap disantap. selamat mencoba...--",7,idresep4468461-sayur-asem-kacang-merah-daging-sapi,"daging sapi, bawang merah, bawang putih, cabai, cabai merah, tomat, bawang daun, gula, gula merah, garam"
