Title,Ingredients,Steps,Loves,URL,Main Ingredients
martabak tahu pedas kulit lumpia,12 lembar kulit lumpia--4 buah tahu putih--2 batang bawang daun iris halus--1 batang daun seledri iris halus--3 butir telur sy pakai 2 aja krn agak besar--1 sendok makan terigu  2 sendok makan air sbgai lem kulit lumpia--secukupnya minyak utk menggoreng--bumbu halus --3 siung bawang putih--12 bks ladamerica bubuk--secukupnya garam gula dan kaldu--3-4 cabai merah kriting iris serong--2 buah wortel agak kecil parut kasar--,"haluskan tahu putih campur semua bahan kecuali kulit lumpia icip rasa--ambil 1 lbr kulit lumpia beri 1 sendok makan adonan tahu ditengahnya lalu lipat seperti amplop dgn rapi, lalu beri lem disetiap sisisnya spy tdk terbuka pd saat digoreng, lakukan hingga habis--panaskan minyak diatas wajan dgn api sedang cenderung kecil, goreng martabak sampai kecoklatan angkat dan tiriskan abaikan wajannya yg sdh mulai jelek ya --martabak tahu pedas kulit lumpia siap dihidangkan--selamat mencoba... --",7,idresep4472701-martabak-tahu-pedas-kulit-lumpia,"kulit lumpia, tahu, bawang daun, daun seledri, seledri, telur, terigu, teri, minyak, bawang putih, lada, merica, gula, garam, kaldu, cabai, cabai merah, wortel"
batagor bakso tahu goreng ala rumahan anti gagal,bahan batagor--3 kotak ukuran kecil tahu kuning--5 sendok makan terigu--12 sendok makan mentega supaya kriuk2--2 buah bawang putih--garam secukupnya--merica secukupnya--air putih matang secukupnya--bahan saus--2 sendok makan saus cabai saya pake indofo--12 siung bawang putih--2 cabai rawit sesuai selera ya karna suami saya gak suka pedas--kecap secukupnya--air matang secukupnya--,"haluskan tahu kuning, bawang putih, garam merica hingga lumat--tambahkan mentega, terigu kedalam adonan tahu dan beri air hingga lembek tapi jangan sampai encer ya. koreksi rasa--siapkan wajan dengan minyak, goreng adonan yang telah dibuat. saya pake 2 sendok buat bikin kecil2. angkat dan tata di mangkuk.--haluskan bawang putih, cabai rawit--tumis bawang putih dan cabai yang sudah di haluskan hingga harus.--masukkan saus, kecap, garam. koreksi rasa--batagor dan sausnya siap untuk dinikmati --",7,idresep4473611-batagor-bakso-tahu-goreng-ala-rumahan-anti-gagal,"tahu, terigu, teri, mentega, bawang putih, garam, merica, cabai, cabai rawit, peda, kecap"
sayur sutace sop tahu ceker,12 kilogram ceker ayam--4 buah wortel ukuran sedang--6 buah wortel--sesuai selera kubis--sesuai selera bawang daun--sesuai selera seledri--4 buah tahu kuning--garam--gula--penyedap rasa rasa rasa rasa rasa rasa rasa mako--lada bubuk--jeruk nipis--2 siung bawang putih--2 siung bawang merah--,"bersihkan ceker, lau rebut selama 3-4 menit pakai jeruk nipis biar gk terlalu bau--tiriskan ceker--potong2 tahu, lalu goreng set mateng, tiriskan--potong2 sayurr, cuci hingga bersihh.--haluskan bawang merah dan bawang putih.--panaskan sedikit minyak masukan bawang yg sudah di haluskan, oseng2 hingga tercium wangi--masukan sayurr, tampahkan air, garam, gula dan penyedap rasa rasa rasa rasa rasa rasa rasa secukupnya.--tunggu hingga sayur hampir matang, masukan ceker, dan tahu.--tutup wajan hingga kaldu meresap kedalam ceker dan tahu.--setelah matang, tuang ke mangkok, siap di santappp --",5,idresep4473647-sayur-sutace-sop-tahu-ceker,"ayam, wortel, kubis, bawang daun, seledri, tahu, garam, gula, penyedap rasa, lada, jeruk nipis, bawang putih, bawang merah"
sapo tahu ayam ala mey,"1 bks tofu--5-10 buah filet ayam--1 buah wortel, iris tipis menyerong--5 buah jagung muda, iris tipis menyerong--12 kuntum bunga kubis, pisahkan jd kuntum2 kecil--5 lbr pakcoy, iris 4-5 baglbr--2 lbr daun kubis, iris2--2 sendok makan saus tiram--3 sendok makan kecap asin--1-2 sendok makan kaldu ayam ayam--1,5 gelas air--pengental  12 gelas air  1 sendok makan sagu--bumbu halus --7 buah bawang merah--4 buah bawang putih--1 sendok teh lada halus--minyak utk menumis--","iris tofu, jgn terlalu tipis, nanti hancur, goreng..,sisihkan--siapkan sayur2annya, cuci, iris2, sisihkan ups pakcoynya hampir kelupaan--tumis bumbu halus, dgn api kecil, hingga matang, masukkan filet ayam, aduk2 beri air, masak sampai mendidih--masukkan irisan wortel, jagung  brokoli, aduk tutup, biarkan sayur2an lunak  matang--beri saus tiram, kecap asin  kaldu ayam, aduk2--masukkan pakcoy  kubis, aduk2, terakhir masukkan pengental, aduk rata, koreksi rasa--sayuran pindahkan kepiringmangkok, tata tofu goreng diatasnya, siram dgn saosnya--sajikan--ini foto sapo tahu yg pertama sekali buat pagi tadi dibuangsayang--",4,idresep4473233-sapo-tahu-ayam-ala-meyf09f918c,"ayam, wortel, jagung, kubis, saus tiram, kecap, kecap asin, asin, kaldu, kaldu ayam, bawang merah, bawang putih, lada, minyak"
ttkk tahu telur timun tauge kuah kacang,1 butir telur--1 tahu--secukupnya timun--secukupnya tauge--kuah kacang --kacang tanah disangrai--bawang merah--bawang putih--cabai kering--cabai rawit--gula merah--,"goreng tahu dan telur, rebus tauge.--potong2 timun sesuai selera--tata telur pada piring, potong tahu taruh diatas telur tadi lalu tauge dan timun lalu airam kuah kacang--ttkk siap disantap--",0,idresep4473231-ttkk-tahu-telur-timun-tauge-kuah-kacang,"telur, tahu, timun, kacang tanah, bawang merah, bawang putih, cabai, cabai rawit, gula, gula merah"
perkedel tahu wortel sederhana,1 bks tahu putih--1 batang wortel potong kecil-kecil--12 bks kaldu ayam ayam--secukupnya lada bubuk--1 butir telur ayam kocok--2 sendok makan terigu--minyak untuk menggoreng--,"hancurkan tahu dalam baskom--campurkan wortel yang telah di potong-potong, lada bubuk, kaldu ayam, telur dan terigu--uleni hingga semua tercampur--ambil menggunakan sendok makan, masukkan ke dalam minyak panas, goreng hingga berwarna kecoklatan.--",4,idresep4473213-perkedel-tahu-wortel-sederhana,"tahu, wortel, kaldu, kaldu ayam, ayam, lada, telur, terigu, teri, minyak"
kari tahu telur kentang,"4 butir telur rebus--4 buah tahu, potong 8 bagian lalu goreng berkulit--2 buah kentang, potong 4 bagian--1 bks santan instan ukuran kecil--1000 mililiter air  kaldu--5 buah cengek utuh tambahan dari saya--haluskan --1 buah cabai merah buang biji--5 siung bawang merah--2 siung bawang putih--1 sendok makan bumbu kari instant--2 butir kemiri--14 sendok teh ketumbar--12 sendok teh merica--18 sendok teh pala bubuk--2 ruas jari kunyit--rempah cemplung--1 batang serai, geprek--2 cm lengkuas--1 cm jahe--2 lembar daun jeruk--1 lembar daun salam--secukupnya asam jawa--garam  kaldu--gula--","tumis bumbu halus dan rempah cemplung hingga harum dan matang--masukan kentang. aduk rata--beri air. setelah agak mendidih masukan telur, tahu dan rawit utuh--bumbui garam dan gula--setelah didih, masukan santan, aduk sesekali--angkat, sajikan dengan pelengkap--",3,idresep4471788-kari-tahu-telur-kentang,"telur, tahu, kentang, santan, santan instan, kaldu, cabai, cabai merah, bawang merah, bawang putih, kemiri, ketumbar, merica, kunyit, serai, lengkuas, jahe, daun jeruk, daun salam, garam, gula"
sundubu jjigae sup tahu pedas ala2 korea,"1 bungkus tahu putih, potong2 besar--12 ons toge--12 ons kubis--1-2 ons sawi putih--1 tangkai bawang daun, iris serong agak tebal--12 bulat bawang bombay, iris memanjang--2-3 botol air--2-3 sendok makan perasan jeruk nipislimaulemon--1 telur, kocok lepas--bumbu halus --3 cabai merah besar--3 cengek merah ini pedesnya sedang--3 bawang merah--1 bawang putih--1 tomat sedang--","haluskan bumbu blender.--tumis bawang bombay sampai harum, lalu masukkan bumbu halus, beri air, tumis sampai bumbu matang--baru masukkan sayuran dan tahu, perasan jeruk, gula, kaldu ayam, garam, tes rasa.--kalo udah dirasa pas dan matang baru masukkan kocokan telur, aduk2 sampai telur matang, lalu matikan api. langsung beri bawang daun atasnya. selesai.--",7,idresep4472974-sundubu-jjigae-sup-tahu-pedas-ala2-korea,"tahu, kubis, sawi, sawi putih, bawang daun, bawang bombay, jeruk nipis, telur, cabai, cabai merah, bawang merah, bawang putih, tomat"
nugget tahu ekonomis anti gagal,"5 buah tahu1kg an sy sekitar 700g--1 butir telur--4 siung bawang putih, haluskan--12 bks ladaku--secukupnya garamsy garam di skip--2 bks kaldu ayam sapisy 1 bks--2 buah wortel,kupas kulitnya, lalu parut--1 batang bawang daun, iris halus--bahan pelapis--secukupnya telur, kocok lepas--secukupnya tepung rotipanirbread crumb--","cuci tahu dan tiriskan. agar saat digoreng tidak rapuh atau nyemek.--haluskan tahu, lalu beri semua bumbu kecuali bahan pelapis. aduk rata.bisa koreksi rasa ketika telur belum ditambahkan, garam bisa disesuaikan karna setiap tahu ada yg asin dan tawar--oles cetakan dengan minyak. masukkan adonan tahu lalu kukus selama 35 menit atau sampai matang. tutup kukusan dilapisi serbet agar air tidak menetes.--setelah matang tunggu hingga dingin.--setelah dingin potong2. siapkan bahan pelapis. celupkan ke telur lalu ke tepung roti lakukan sampai habis. nugget bisa langsung digoreng atau disimpan di frezzer. sebaiknya menyimpan nugget tidak ditumpuk apabila ditumpuk alasi dengan kertas minyakkertas roti agar tidak lengket.--goreng di api sedang. lakukan satu balikan bila satu sisi sudah kering. agar tidak menyerap banyak minyak.--sajikan hangat dengan saus sambal. lebih enak lagi bila ditambah keju dan kornet. next time dicoba pakai keduanya.--",9,idresep4448501-nugget-tahu-ekonomis-anti-gagal,"tahu, telur, bawang putih, lada, garam, kaldu, kaldu ayam, ayam, wortel, bawang daun, tepung roti"
tahu petis musim ujan,"1 sendok makan petis--2 buah cabai rawit,rajang--2 bawang pth,rajang halus--4 bawang mrh,rajang halus--secukupnya garam--12 sendok teh maizena,larutkan dg 100 mililiter air--","siapkan bahan2--goreng tahu smp matang..sementara itu kita rajang halus bumbudiuleg jg boleh..--siapkan minyak dwajan 3 sendok makan,masukkan bumbu  petis,aduk rata. biarkan smp harum. lalu masukkan larutan maizena,aduk lg.. icip smp dpt rasa yg pas.. sajikan dgn tahu goreng... sedapp--drpd beli dluar,mending bkin sndiri yuk,rempong sdkit gpp demi kluarga trsayang..--",9,idresep4472947-tahu-petis-musim-ujan,"cabai, cabai rawit, garam"
