Title,Ingredients,Steps,Loves,URL,Main Ingredients
orak arik telur buncis,1 buah telur--10 buncis--3 bawang merah--2 bawang putih--6 cabai rawit--1 sendok makan kecap manis--penyedap rasa rasa garam gula atau penyedap rasa rasa lainnya--,"haluskan bawang merah, bawang putih dan cabai--iris buncis sesuai selera--tumis bumbu halus hingga harum--masukan buncis hingga agak layu--masukan penyedap rasa rasa--masukan telur, lalu campur dengan buncis di orak arik hingga rata.. tunggu sebentar lalu di orak arik lagi.. supaya matangnya sempurna biar ga amis--masukan kecap manis--masukan air sedikit biarkan menyusut dan meresap--koreksi rasa--jadi deh.. selamat menikmati --",1,idresep4474114-orak-arik-telur-buncis,"telur, buncis, bawang merah, bawang putih, cabai, cabai rawit, kecap, kecap manis, gula, garam, penyedap rasa"
terik ayam tempe telur,4 sayap ayam--4 buah telur--12 papan tempe--bumbu halus--5 siung bawang merah--4 siung bawang putih--2 butir kemiri--12 sendok makan ketumbar--secukupnya garam--bumbu lain--2 cm lengkuas--1 lembar daun salam--1 batang serai--secukupnya gula merah--bawang goreng--minyak untuk menumis--1 bungkus santan instan--secukupnya air--5 buah cabai rawit--,"cuci sayap ayam kemudian sisihkan. rebus telur dan kupas. sisihkan. potong tempe sesuai selera. sisihkan.--panaskan minyak langsung di dalam panci. tumis serai, daun salam, dan lengkuas. setelah beberapa saat masukkan bumbu halus. tumis sampai berbau harum. kemudian masukkan air dan gula merah dan cabai rawit. jika air sudah mendidih, masukkan sayap ayam dan telur. masukkan tempe belakangan. tunggu beberapa saat sampai ayam empuk karena pakai sayap ayam, jadi tidak begitu lama. jika ayam sudah empuk masukkan santan instan. tunggu beberapa saat. sesuaikan rasa. matikan api, dan taburkan bawang goreng.--terik siap dinikmati dengan nasi hangat dan kerupun --",6,idresep4474066-terik-ayam-tempe-telur,"ayam, telur, tempe, bawang merah, bawang putih, kemiri, ketumbar, garam, lengkuas, daun salam, serai, gula, gula merah, minyak, santan, santan instan, cabai, cabai rawit"
telur kornet,12 kaleng kornet--2-3 buah bawang prei--2 buah telur--1 sendok makan terigu--secukupnya cabai rawit--2 jumput garam--12 sendok teh merica--12 sendok makan saus tiram--,"campur kornet, telur, bawang prei dan cabai yg sudah di iris tipis. tambahkan garam merica saus tiram secukupnya dan terigu. goreng 1 sendok makan dulu setelah matang baru cek rasa. dirasa sudah pas. adonan siap di goreng.--",7,idresep4473838-telur-kornet,"kornet, telur, terigu, teri, cabai, cabai rawit, garam, merica, saus tiram"
tahu telur surabaya,1 butir telur--1 potong tahu putih goreng setengah matang--12 siung bawang putih goreng--1 sendok makan petis udang--3 sendok makan kacang tanah goreng--secukupnya gula merah--secukupnya air--kucai secukupnya  seledri--secukupnya bawang goreng--secukupnya garam--kecap manis--4 buah cabai rawit goreng--tauge--acar--,"uleg kacang, cabai, bawang putih, gula merah, petis. tambahkan air matang. aduk rata. sisihkan--potong tahu kecil-kecil. sisihkan--kocok telur dan garam. masukkan tahu ke telur. goreng--campur telur goreng dan tauge dengan saus kacang. aduk rata.--pindah ke piring, beri kecap manis secukupnya, taburi bawang goreng dan kucaiseledri. tambahkan acar--",10,idresep4473784-tahu-telur-surabaya,"telur, tahu, bawang putih, udang, kacang tanah, gula, gula merah, seledri, garam, kecap, kecap manis, cabai, cabai rawit"
telur ceplok masak kecap,4 butir telur--4 siung bwng merah--2 siung bwng putih--1 buah tomat--4 buah cabai merah besar--secukupnya kecap bango--,"ceplok telur lalu sisihkan--iris tipis dua bwng,cabai dan tomat--panaskan minyak tumis bmbu sampai harum--tambahkan kecapmasukan telur tambahkan air sampai bmbu meresap--angkat dan sajikan dengn nasi panas--",0,idresep4473512-telur-ceplok-masak-kecap,"telur, tomat, cabai, cabai merah, kecap"
sambal telur ayam,12 kilogram telur--6 cabai merah besar--10 cabai rawit--sejumput lada--garam--gula--kecap manis--3 bawang putih--6 bawang merah--,"rebus telur lalu kupas dan goreng--rebus cabai merah, rawit, bawang putih, bawang merah, tomat--lalu haluskan lada garam, dan bumbu yg di rebus tadi--tumis bumbu sampai harum masukkan penyedab rasa dan gula, aduk rata. masukkan air matang sedikit lalu masukkan kecap manis sesuai selera dan telur. tunggu sampai air menyusut. icip rasa--sajikan--",6,idresep4473513-sambal-telur-ayam,"telur, cabai, cabai merah, cabai rawit, lada, garam, gula, kecap, kecap manis, bawang putih, bawang merah"
telur dadar padang,"3 butir telur ayamlebih enak pakai telur bebek--4 sendok makan kelapa parut,sangraiasli  3 sendok makan--2 sendok makan tepung beras,larutkan dengan sedikit air--12 lbr daun kunyit,buang tulangnya,iris halusskip--2 batang bawang daun,iris halus--secukupnya garam dan kaldu bubukoptional--bumbu halus --3 buah cabai merah,gilingiris halusaku tambah 5 buah cabai rawit--5 butir bawang merah--3 siung bawang putih--12 ruas kunyit--1 sendok teh kari bubukaku pakai baba's--1 sendok teh ketumbar--12 sendok teh lada bubuk--","kocok telur sebentar saja,jika kelamaan telurnya kempes saat didadar.--masukkan bumbu halus,aduk rata.--tambahkan bahan lainnya,beri garam dan kaldu,tes rasa.--panaskan wajan datar anti lengket dengan api besar,beri minyak secukupnya.--setelah minyak panas,tuang kocokan telur,kecilkan api,tutup wajan.--jika sudah kokoh,balik telur dan masak sisi lainnya hingga matang.--angkat dan tiriskan.--sajikan saat masih hangat dengan nasi panas..lamakk banaa..ngga perlu sambal lagi..karna ini udah pedess..--",39,idresep4473259-telur-dadar-padang,"ayam, telur, tepung beras, beras, kunyit, daun kunyit, bawang daun, garam, kaldu, kaldu bubuk, cabai, cabai merah, cabai rawit, bawang merah, bawang putih, ketumbar, lada"
ceplok telur saus asam manis,"2 butir telur--1 ruas wortel iris korek api--1 siung bawang putih geprek cacah halus--12 siung bawang bombay iris tipis--1 sendok makan saus tomat--1 sendok makan saus sambal--sejumput garam, merica n kaldu--seujung sendok teh gula--30 mililiter air--","ceplok telur sisihkan--tumis bawang putih n bawang bombay sampai harum lalu masukkan wortel, tumis sampai agak layu--kecilkan api, tambahkan air n masukkan duo saus serta bumbu perasa lain--aduk rata n masak sampai meletup letup, lalu guyurkan k telur ceplok--",5,idresep4472169-ceplok-telur-saus-asam-manis,"telur, wortel, bawang putih, bawang bombay, tomat, saus sambal, garam, merica, kaldu, gula"
kentang keju dengan telur,"250 gram kentang kupas dan potong bulat"" goreng setengah matang--2 buah sosis potong bulat--50 mililiter susu segar--50 gram keju cheedar parut--50 gram keju mozarela parut--3 butir telur kocok--lada dan garamsecukupnya--","siapkan cetak tahan panas olesi dgn mentega, ukuran 12 cm--tata kentang goreng dipinggan sampai tertutup semua--kocokan telur bumbui dgn lada dan garam secukupnya, kocok rata tambahkan susu segar, sisihkan--kentang yg sdh diatur dipinggan atasnya taburi dgn keju cheedar, potongan sosis, dan keju mozarela, terakhir tuangkan kocokan telur susu--oven selama 20 mnt dgn suhu 180 derajat, jgn lupa panaskan oven lebih dahulu--siap disajikan dgn saoce sambal tomat--",4,idresep4473136-potatoes-cheese-with-egg,"kentang, sosis, keju, telur, lada, garam"
tahu telur timun tauge kuah kacang,1 butir telur--1 tahu--secukupnya timun--secukupnya tauge--kuah kacang --kacang tanah disangrai--bawang merah--bawang putih--cabai kering--cabai rawit--gula merah--,"goreng tahu dan telur, rebus tauge.--potong2 timun sesuai selera--tata telur pada piring, potong tahu taruh diatas telur tadi lalu tauge dan timun lalu airam kuah kacang--ttkk siap disantap--",0,idresep4473231-ttkk-tahu-telur-timun-tauge-kuah-kacang,"telur, tahu, timun, kacang tanah, bawang merah, bawang putih, cabai, cabai rawit, gula, gula merah"
