Title,Ingredients,Steps,Loves,URL,Main Ingredients
orek tempe manis pedas super simple,tempe saya beli 3000 saja--3 buah cabai gendot--3 buah cabai keriting--3 buah cabai rawit merah--2 siung bawang merah--1 siung bawang putih--kecap--saus tiram--saus tomat--kaldu--garam--gula--,"potong2 tempe sesuai selera lalu goreng sebentar.--tumis duo bawang dan semua cabai cabai bisa sesuai selera ya pedesnya suka segimana sampai harum. masukkan tempe, kecap, saus tiram, saus tomat, kaldu, gulgar, dan tambahkan air satu gelas belimbing. aduk2 dan tutup wajan.--saat air sudah menyusut dan kuah kecap mengental. cek rasa. klo sudah oke. matikan api. sajikan. klo aku suka airnya sedikit sekali . selamat mencoba !--",7,idresep4474061-orek-tempe-manis-pedas-super-simple,"tempe, cabai, cabai gendot, cabai rawit, bawang merah, bawang putih, kecap, saus tiram, tomat, kaldu, garam, gula"
terik ayam tempe telur,4 sayap ayam--4 buah telur--12 papan tempe--bumbu halus--5 siung bawang merah--4 siung bawang putih--2 butir kemiri--12 sendok makan ketumbar--secukupnya garam--bumbu lain--2 cm lengkuas--1 lembar daun salam--1 batang serai--secukupnya gula merah--bawang goreng--minyak untuk menumis--1 bungkus santan instan--secukupnya air--5 buah cabai rawit--,"cuci sayap ayam kemudian sisihkan. rebus telur dan kupas. sisihkan. potong tempe sesuai selera. sisihkan.--panaskan minyak langsung di dalam panci. tumis serai, daun salam, dan lengkuas. setelah beberapa saat masukkan bumbu halus. tumis sampai berbau harum. kemudian masukkan air dan gula merah dan cabai rawit. jika air sudah mendidih, masukkan sayap ayam dan telur. masukkan tempe belakangan. tunggu beberapa saat sampai ayam empuk karena pakai sayap ayam, jadi tidak begitu lama. jika ayam sudah empuk masukkan santan instan. tunggu beberapa saat. sesuaikan rasa. matikan api, dan taburkan bawang goreng.--terik siap dinikmati dengan nasi hangat dan kerupun --",6,idresep4474066-terik-ayam-tempe-telur,"ayam, telur, tempe, bawang merah, bawang putih, kemiri, ketumbar, garam, lengkuas, daun salam, serai, gula, gula merah, minyak, santan, santan instan, cabai, cabai rawit"
penyet tempe sambal korek kemangi,2 buah tempe--1 genggam daun kemangi--15 cabai rawit--2 siung bawang putih--gula--garam--,"iris tempe jd beberapa potong, bumbui dg bawang putih dan garam. goreng sampai kering--ulek cabai rawit dan 1 siung bawang putih ukuran besar tambah gula garam sesuai selera--setelah halus tuang minyak panas bekas goreng tempe td--penyet tempe diatas sambal dan beri daun kemangi--tempe penyet siap disantap --",8,idresep4473809-penyet-tempe-sambal-korek-kemangi,"tempe, daun kemangi, cabai, cabai rawit, bawang putih, gula, garam"
nugget tempe,"1 papan tempe dihaluskansaya kukus dlu--1 buah wortel parut kasar--2 batang bawang daun di iris kasar--1 butir telur--3 butir bawang merah di iris lalu di goreng--3 butir bawang putih di haluskan--5 sendok makan terigu--secukupnya garam,lada  penyedap rasa rasa rasa--secukupnya tepung panir--secukupnya minyak--","campur tempe,wortel,bawang daun  bumbu yg sudah dihaluskan,beri garam,lada  penyedap rasa rasa rasa,tes rasa lalu masukkan telur--bentuk adonan sesuai selera lalu gulingkan di tepung panir--goreng hingga matang--sajikan dengan saus sambal--",8,idresep4473715-nugget-tempe,"tempe, wortel, bawang daun, telur, bawang merah, bawang putih, terigu, teri, garam, lada, penyedap rasa, tepung panir, minyak"
tempe tepung sajiku,1 potong tempe 3000--1 bngkus sajiku tepung serbaguna--secukupnya air--minyak untuk manggoreng--,potong tempe tipis2--tuang tepung lalu beri air secukupnya--panaskan minyak tunggu sampai panas--masukan satu persatu--tempe kedalam tepung sampai adonan habis--angkat tiriskan dan sajikan dengan cabai rawit--,1,idresep4473463-tempe-tepung-sajiku,"tempe, tepung serbaguna, minyak"
patty tempe,"250 gram tempe, kukus, haluskan--150 gram daging sapi ayam sy 200 gram daging sapi--5 sendok makan tepung panir sy tepung kobe putih--2 butir telur--1 buah bawang bombay ukuran sedang, potong kotak kecil--4 siung bawang putih, memarkan lalu cincang--14 sendok teh merica--12 sendok teh garam--","ini tepung kobe putih yg sy pakai.--campur semua bahan dalam wadah.--ulen hingga semua tercampur rata. adonan menjadi padat. tes rasa.--bentuk bulat lalu pipihkan. timbang per adonan bila perlu.--siapkan teflon, beri 2 sendok makan minyak, panaskan. masukkan adonan. masak hingga bagian bawah adonan kecoklatan, lalu balik, masak kembali hingga kecoklatan. angkat, dinginkan, siap untuk isian burger. atau mau dimakan gitu aja di cocol saus sambal jg enakkk.--bila akan di simpan di freezer, sebaiknya panggang di teflon setengah matang, biarkan dingin, lalu masukkan dalam wadah tertutup atau plastik. sengaja sy simpan 1 buah selama 2 minggu, setelah di goreng ttp oke rasanya.--selamat mencoba --",9,idresep4469642-patty-tempe,"tempe, ayam, daging sapi, tepung panir, telur, bawang bombay, bawang putih, merica, garam"
orek tempe basah bumbu ulek recook,"1 papan tempe, potong sesuai selera sy 12 papan tempe4 tahu--3 cabai ijo, iris sy lombok merah utuh--secukupnya kecap manis--secukupnya gula, garam, penyedap rasa rasa sy garam aja--secukupnya air--bumbu halus--5 butir bawang merah--2 siung bawang putih--12 buah tomat--3 cabai merah keritingcabe rawit sy skip--2 butir kemiri--14 sendok teh ketumbar--","goreng tempe setengah matang, angkat, tiriskan dan sisihkan.--panaskan secukupnya minyak, tumis bumbu sampai layu dan harum. tambahkan air, biarkan mendidih. tambahkan kecap, lombok dan garam, aduk rata. tambahkan tempe, aduk rata. koreksi rasa. angkat.--siap disajikan.--",6,idresep4473253-orek-tempe-basah-bumbu-ulek-recook,"tempe, tahu, cabai, kecap, kecap manis, gula, garam, penyedap rasa, bawang merah, bawang putih, tomat, cabai merah, kemiri, ketumbar"
perkedel tempe,"12 potong papan tempe haluskan dgn sedikit air--bumbu halus ulek kasar--6 siung bawang merah--2 siung bawang putih--2 cabai rawit--1 sendok teh ketumbar--secukupnya garam, ebi--12 bungkus tepung racik bakwan--","campurkan adonan tempe basah dengan bumbu halus, aduk rata--panaskan wajan dgn minyak, tuang adonan per 1 sendok makan sampai adonan habis--goreng adonan sampai berwarna kekuningan--",1,idresep4473022-perkedel-tempe,"tempe, bawang merah, bawang putih, cabai, cabai rawit, ketumbar, garam"
perkedel tempe,"300 gram tempe--1 butir telur, kocok lepas--1 batang bawang daun, iris2--1 sendok teh seledri, iris halus--secukupnya gula, garam, lada bubuk--bumbu yg digorengditumis  dihaluskan--3 siung bawang putih--4 buah bawang merah--","potong2 tempe, dan kukus selama 25 menit.--haluskan tempe dan masukkan semua bumbu, aduk rata.--bentuk tempe sesuai selera. saya pakai sendok sayur untuk mencetaknya.--selanjutnya goreng diapi sedang sampai kekuningan.--",11,idresep4448262-perkedel-tempe,"tempe, telur, bawang daun, seledri, gula, garam, lada, bawang putih, bawang merah"
nugget tempe simple,"1 papan tempe--1 buah wortel--1 butir telur kocok lepas--5 siung bawang merah--2 siung bawang putih--2 batang bawang daun--1 sendok teh garam--secukupnya terigu, merica, tepung roti  kaldu--","haluskan bawang merah, bawang putih, merica, garam  kaldu. tambahkan tempe, uleg sampai lembut--potong2 bawang daun  parut wortel menggunakan parutan keju, siapkan baskom--masukkan semua bahan dalam baskom kecuali telur  tepung roti. tambahkan air  terigu, aduk rata. masukkan dalam loyang  kukus selama 30 menit--angkat, setelah dingin potong2 sesuai selera, celupkan dalam telur  gulingkan dalam tepung roti, simpan dalam freezer 30 menit. lalu goreng. --",6,idresep4472907-nugget-tempe-simple,"tempe, wortel, telur, bawang merah, bawang putih, bawang daun, garam, terigu, teri, merica, kaldu, tepung roti"
