Title,Ingredients,Steps,Loves,URL,Main Ingredients
lumpia udang kulit tahu ala fe',"50 gram ayam potong kotak kecil--200 gram udang besar potong kecil--1 lembar bawang daun iris halus--12 sendok teh garam halussesuai selera--12 sendok teh gula--14 sendok teh merica--1 sendok teh kecap ikan--1 sendok teh saus raja rasa--1 sendok teh saus tiram--1 sendok teh minyak wijen--1 sendok makan tepung sagu--1 sendok teh terigu--1 butir telur ambil bagian putihnya saja, kocok lepas--2 lembar kembang tahu kering  kulit tahu direndam sebentar--","campur ayam  udang dengan semua bumbu  bawang daun, aduk rata. sesudah rata masukkan tepung sagu, terigu  putih telur. aduk rata.--isikan ke lembaran kulit kembang tahu  lipat seperti melipat lumpia, sambil dipadatkan agar rapi  bentuk agak pipih jangan terlalu bulat. olesi putih telur diujung lipatan agar merekat rapat.--kukus sekitar 15 menit hingga matang. angkat dinginkan. siap digoreng dengan api kecil sebentar. anakku suka digoreng agak lama dengan kuning telur kocok sisa adonan tadi. nanti jadi ada kayak jala2 crispynya yang gurih  kering. angkat  tiriskan jika sudah digoreng matang.--sajikan dengan dipotong diagonal potong 2 serong. siap disantap dengan saus sambal botol yang biasanya saya rebus dengan bawang goreng, cabai rawit iris, gula  sedikit air. selamat mencoba.--",4,idresep4448366-lumpia-udang-kulit-tahu-ala-fe,"ayam, udang, bawang daun, garam, gula, merica, kecap, ikan, saus tiram, minyak, minyak wijen, terigu, teri, telur, tahu"
bakso ayam udang keto,"400 gram ayam giling--250 gram udang kupas--3 telur ayam utuh kocok--30 mililiter minyak--12 sendok teh baking powder--secukupnya garam, lada--2 sendok makan bawang goreng haluskan--secukupnya bawang merah  putih--12 sendok teh minyak wijen--karageenan secukupnya pengenyal--es batu 8 keping kotak--","campur semua bahan dalam food processor, kecuali bawang daun dan minyak.--tuang dalam baskom lalu taburi bawang daun dan minyak, uleni rata gunakan sarung tangan. lalu simpan 2 jam dlm kulkas.--panaskan minyak di wajan dgn api sedang. bulatkan adonan dengan menggunakan dua sendok. lalu goreng sampai matang. adonan akan mengembang saat di wajan, tapi kembali kempes stelah diangkat.--",2,idresep4474544-bakso-ayam-udang-keto,"ayam, udang, telur, minyak, baking powder, garam, lada, bawang merah, minyak wijen"
udang ala pop corn,14 kilogram udang basah ukuran sedang--1 bungkus kobe tepung ayam super crispy--secukupnya air matang--minyak untuk menggoreng--,"buang kepala dan cangkang udang.--cuci bersih udang.--tepung bumbu dibagi jadi 2 adonan. adonan basah dan adonan kering.--masukkan udang ke dalam adonan tepung bumbu kering, gulirkan ke dlm tepung sambil ditekan2. lalu masukkan ke dalam tepung bumbu adonan basah gulirkan lagi sambil di tekan2, lalu masukkan lagi di adonan tepung bumbu kering sambil ditekan2 agar tepung menempel sempurna.--panaskan minyak. lalu goreng udang sampai kuning keemasan.--angkat dan tiriskan.--sajikan selagi hangat --",2,idresep4418156-udang-ala-pop-corn,"udang, ayam, minyak"
bakwan udang sederhana,12 kilogram terigu sudah di ayak--12 udang segar--1 butir telur--4 siung bawang putih--1 sendok makan garam--12 sendok makan picin--12 bks penyedap rasa rasa rasa rasa rasa rasa rasa--12 sendok makan merica--12 liter air putih es--minyak makan--bawang daun cincang--wortel potong potong kecil--,"haluskan bawang putih, garam, picin dan merica--masukan bumbu yang dihalus kan ke dalam udang, masukkan terigu dan air secukup nya jangan terlalu kental--pecahkan telur kedalam adonan, masukan potongan wortel dan bawang daun aduk hingga merata--panas kan minyak, masuk kan adonan sedikit demi sedikit--setelah matang tiris kan, nikmati dengan saus tomat. yummy--",0,idresep4475500-bakwan-udang-sederhana,"terigu, teri, udang, telur, bawang putih, garam, penyedap rasa, merica, minyak, bawang daun, wortel"
udang goreng tepung mayonaise,300 gram udang buang kepalanya--jeruk nipis--tepung bumbu kobe--sedikit garam--bahan saus--mayonaise 2 sachet 30 mililiter saya pakai mayumi--1-2 sendok makan saus sambaltomat--1 sendok makan susu kental manis--,"cuci bersih udang, tambahkan jeruk nipis supaya tidak amis dan sedikit garam agar rasa udang sedikit gurih. sisihkan.--tuang tepung bumbu secukupnya dalam wadah beri sedikit air hingga tekstur kental. dalam wadah lain tuang tepung bumbu yang kering saya campur dengan 2 sendok makan tepung beras agar gorengan lebih kriuk.--masukkan udang kedalam adonan cair tepung kemudian pindahkan ke dalam tepung kering. tepuk2 ringan supaya tepung menempel. lalu goreng dalam wajan berisi minyak panas sampai kecoklatan.--saus mayonaise -- campur semua bahan saus aduk rata. koreksi rasa.--sajikan udang goreng tepung dengan saus mayonaise bisa dicocol atau disiram diatas udang.--selamat menikmati --",6,idresep4474156-udang-goreng-tepung-mayonaise,"udang, jeruk nipis, garam, saus sambal, tomat, susu kental manis"
udang saus asam manis,1 kilogram udang mutiara--7 siung bawang merah--4 siung bawang putih--4 buah cabai merah--3 ruas jahe--3 ruas lengkuas--5 sendok makan saus cabai--10 sendok makan saus tomat--2 sendok makan saus tiram--5 sendok makan minyak--1 sendok teh lada bubuk--1 12 sendok teh garam secukupnya--100 mililiter air--,"iris bawang merah, bawang putih, jahe, lengkuas, dan cabai merah--masukan minyak dan bahan yang telah diiris, tumis hingga harum--masukkan saus tiram, saus cabai dan saus tomat.--masukan udang. tambahkan garam dan lada bubuk.--masukan air matang, aduk rata. tunggu hingga matang.--sajikan.--",0,idresep4443123-udang-saus-asam-manis,"udang, bawang merah, bawang putih, cabai, cabai merah, jahe, lengkuas, tomat, saus tiram, minyak, lada, garam"
tekwan kuah udang,untuk tekwan --14 ekor ikan tenggiri --2 butir putih telur --1 sendok makan kaldu --2 sendok teh garam --1 sendok teh gula aku pakai brown sugar --1 sendok teh lada --100 mililiter air dingin --20 mililiter minyak --200 gram tepung kanji --1 liter air untuk merebus--2 sendok makan minyak untuk rebusan--untuk kuah tekwan --12 kilogram udang--10 butir bawang putih--10 buah jamur kuping--bahan tambahan --bihun  soun--bawang daun--sambal cair--,"untuk membuat tekwan, rebus air dengan 2sdm minyak tunggu hingga mendidih. campur semua bahan  aduk rata. bulat- bulatkan adonan lalu celupkan ke dalam air mendidih, tunggu hingga mengapung. sisihkan.--untuk kuah tekwan, kupas udang pisahkan kulit dan kepala nya. rebus kulit udang sebentar saja hingga mendidih.--blender kepala udang dalam keadaan mentah, sisihkan.--rebusan kulit udang tadi, buang kulitnya. lalu, masukan blenderan kepala udang, udang potong dan tumisan bawang putih. masak hingga 10 menit.--tata dalam mangkuk. bihun matang, tekwan, jamur. lalu guyur kuah tekwan.--",5,idresep4464484-tekwan-kuah-udang,"ikan, tenggiri, telur, kaldu, garam, gula, lada, minyak, udang, bawang putih, jamur, bihun, bawang daun"
sambal udang goreng,14 kilogram udang--2 buah jeruk nipis--minyak--garam--gula--penyedap rasa rasa rasa rasa rasa rasa rasa--daun jeruk--bumbu dihaluskan--6 siung bawang merah--4 siung bawang putih--1 buah tomat--8 cabai merah sesuai selera--5 cabai rawit sesuai selera--,"cuci udang bersih, lumuri dengan jeruk nipis--panaskan minyak, goreng udang sebentar--haluskan bumbu saya lebih suka di uleg--panaskan minyak sedikit, tumis bumbu halus  daun jeruk. tumis hingga harum.--masukkan udang. beri garam, penyedap rasa rasa rasa rasa rasa rasa rasa  1 sendok teh gula. koreksi rasa nya. tumis sampai bumbu meresap ke udang.--angkat  sajikan.--",7,idresep4474006-sambal-udang-goreng,"udang, jeruk nipis, minyak, garam, gula, penyedap rasa, daun jeruk, bawang merah, bawang putih, tomat, cabai, cabai merah, cabai rawit"
udang asam manis oregano,12 kilogram udang vaname--1 buah bawang bombay--2 siung bawang putih--1 sendok makan oregano kering--4-6 sendok makan saus tomat--1 sendok makan saus sambal--1 sendok makan gula--sedikit garam--sedikit air--minyak untuk menumis--,"bersihkan udang dan cuci dengan air garam, iris bawang bombay dan bawang putih--siapkan wajan yang sudah diberi sedikit minyak lalu tumis bawang sampai harum dan masukkan oregano kering, beri sedikit air baru masukkan udang tunggu sampai udang berubah warna, baru masukkan saosnya beri garam dan gula,--tambahkan air sedikit lagi tunggu sampai mateng dan cicipin hemmmm,,,--nb. kalau menurut saya bund jangan pakai saus tomat mereknya delmonte karena kalau merek yg lain baunya gram enak ada yg bau busuk ada juga yg bau kunyit,,,, hemmm, tp ini menurut saya ya,,,--",3,idresep4473599-udang-asam-manis-oregano,"udang, bawang bombay, bawang putih, tomat, saus sambal, gula, garam, minyak"
tumis buncis pakai udang,14 kilogram buncis iris serong--4 buah bawang putih geprek cincang--cabai merah keriting sesuai selera--10 buah udang kupas--12 sendok teh kaldu jamur kaldu ayam--sejumput gula--secukupnya garam--1 sendok teh kecap ikan--secukupnya lada--150 mililiter air--,"tumis bawang putih sampai harum, masukan udang, kecap ikan, tumis sampai kemerahan--masukan buncisnya aduk, masukan kaldu jamur, lada, gula, garam, aduk2, beri air...--tumis sampai mendidih dan air menyusut... cicipi rasa.... jika buncis sudah empuk dan matang, siap disajikan. --",5,idresep4473387-tumis-buncis-pakai-udang,"buncis, bawang putih, cabai, cabai merah, udang, kaldu, kaldu ayam, jamur, ayam, kaldu jamur, gula, garam, kecap, ikan, lada"
